iter	Passed	Remaining
0	0	78
1	1	69
2	2	65
3	2	62
4	3	60
5	3	58
6	4	57
7	4	56
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	33
42	24	32
43	24	31
44	25	31
45	26	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	31	25
55	31	24
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	18
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	43	14
75	43	13
76	44	13
77	44	12
78	45	11
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	49	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
